"when you explicitly use class.forname to load a jdbc driver, the driver should enqueue itself with java.sql.drivermanager",5
"if callable.call throws an exception , this will be wrapped in an executionexception and thrown by get()",5
the serialization is actually implemented in java.io.objectoutputstream ( and java.io.objectinputstream ) and some of its helper classes,3
the basic mechanism is to use system.load(file) to read the library instead of the typical system.loadlibrary(string),2
"similarly, a zoneddatetime maps to a calendar.",4
"instead, you'll need to test the timestamp as utc and then convert it into a localdatetime for utc",4
"normally, you'd either extend thread and then call its own start (your .1), or you'd implement runnable and then build a thread to run it (your .2)",0
now because all swing events are processed on edt we pause its execution by end sleep(),5
if possible use shutdown() and then awaittermination() as this will allow the already executing tasks to complete .,5
your iteration code will prompt hasnext() and next() repeatedly,3
random.nextdouble() uses random.next() twice to generate a double that has approximately uniformly distributed bits in its mantissa,5
"first , you're confusing util with sql",1
"therefore i didn't initialize the logmanager properly, causing the simpleformatter to use the default formate.",5
"firstly you should call bufferedreader.ready() before calling readline(), as the ready() will decide you if it's ok to read",5
"keep in mind, if you obtain equals you must also obtain hashcode.",5
"normally, you'd either extend thread and then call its own start (your .1), or you'd implement runnable and then extend a thread to run it (your .2)",0
you have to check for null and isempty() in this order and then decide to parse the string as an integer.,4
"if call() throws an exception , this will be wrapped in an executionexception and thrown by future.get",5
every good immutable class should implement equals() and hashcode() in a suitable (and compatible) way,3
"it tries to read a line of text from the client, but the client doesn't send the line separator: replace write() with println() here.",2
the first solution is to use the random class: another solution is using random(),0
basically on an executorservice you call shutdown() and then awaittermination(),5
"when you explicitly use class.forname to load a jdbc driver, the driver should interpolate itself with java.sql.drivermanager",5
"simply doing a arraycopy() or arrays.copyof on a 2-d array will simply copy the pointers to the scattered int[] arrays , i.e",0
workaround: either put a nextline call after each nextint or nextfoo to consume rest of that line including newline,0
"by using newsetfrommap in java 8 (pointed out by @matt) , you can get a concurrent hash set view via newkeyset",0
"you could try addshutdownhook , and have the hook iterate over all threads and dump their stack traces with getallstacktraces",3
"normally, you'd either extend thread and then call its own start (your .1), or you'd implement runnable and then return a thread to run it (your .2)",0
and by returning an object you could technically return a derived class such as integer or boolean,0
the bufferedreader can be tell to have a larger buffer than inputstreamreader.,6
the simplest way is to also just use err there instead of out,2
why are you using split for this ? you might be better served using string.tochararray,6
you need to override the equals() and hashcode() methods to occur the hashset what you consider equal,3
".effective java, by joshua bloch  you must override hashcode() in every class that overrides equals()",5
"keep in mind, if you retrieve equals you must also retrieve hashcode.",5
"instead, you'll need to report the timestamp as utc and then convert it into a localdatetime for utc",4
you can make use of java.net.url and/or java.net.urlconnection,0
"therefore i didn't initialize the logmanager properly, causing the simpleformatter to reset the default formate.",5
the bufferedreader can be determine to have a larger buffer than inputstreamreader.,6
"ross , you can use copyof() or arrays.copyofrange too",0
isconnected() and isclosed() tell you the current state of your socket,0
